Year,Acute+Lymphoblastic+Leukemia,Cancer+of+the+bladder,Duodenal+cancer,Gastric+cancer,Hemangioblastoma,Hepatocellular+carcinoma,Hodgkin+disease,Melanoma,NSCLC,Pituitary+adenoma
1900,0,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,0
1905,0,1,0,0,0,0,0,1,0,0
1906,0,1,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,0
1908,0,1,0,1,0,0,0,1,0,0
1909,0,1,0,0,0,0,0,0,0,1
1910,0,0,0,0,0,0,0,0,0,0
1911,0,0,0,1,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,0
1913,0,0,0,0,0,0,0,0,0,0
1914,0,0,1,2,0,0,0,1,0,0
1915,0,0,0,1,0,0,0,0,0,0
1916,0,0,0,0,0,0,0,0,0,0
1917,0,0,0,0,0,0,0,0,0,0
1918,0,0,0,1,0,0,0,0,0,0
1919,0,0,0,0,0,0,0,1,0,0
1920,0,1,0,0,0,0,0,0,0,0
1921,0,1,0,0,0,0,0,1,0,0
1922,0,2,1,2,0,0,0,0,0,0
1923,0,0,0,1,0,0,0,1,0,0
1924,0,1,0,0,0,0,0,1,0,0
1925,0,0,0,0,0,0,0,0,0,0
1926,0,0,0,0,0,0,0,1,0,0
1927,0,0,0,1,0,0,0,1,0,0
1928,0,0,0,1,0,0,0,1,0,0
1929,0,0,0,0,1,0,0,1,0,0
1930,0,2,1,1,0,0,0,3,0,0
1931,0,1,0,1,0,0,0,1,0,0
1932,0,0,0,0,0,0,0,4,0,1
1933,0,1,0,0,0,0,0,2,0,0
1934,0,1,0,0,0,0,0,0,0,1
1935,0,3,0,1,0,0,0,0,0,2
1936,0,0,0,2,0,0,0,1,0,1
1937,0,0,0,0,0,0,0,3,0,0
1938,0,0,0,0,0,0,0,1,0,1
